round;team1;team2;n;p
QuarterFinals;GER;BEL;7;0.000070
QuarterFinals;ARG;EGY;1;0.000010
QuarterFinals;CRC;PAN;3;0.000030
QuarterFinals;NGA;POR;2240;0.022400
QuarterFinals;SRB;POL;1947;0.019470
QuarterFinals;KSA;DEN;111;0.001110
QuarterFinals;KOR;TUN;5;0.000050
QuarterFinals;CRC;COL;599;0.005990
QuarterFinals;CRO;POR;15980;0.159800
QuarterFinals;DEN;KSA;1;0.000010
QuarterFinals;RUS;ARG;18893;0.188930
QuarterFinals;FRA;URU;30647;0.306470
QuarterFinals;SUI;ENG;11756;0.117560
QuarterFinals;CRO;URU;14774;0.147740
QuarterFinals;KOR;SEN;1;0.000010
QuarterFinals;GER;TUN;14;0.000140
QuarterFinals;BRA;PAN;4;0.000040
QuarterFinals;NGA;URU;2194;0.021940
QuarterFinals;ISL;URU;11;0.000110
QuarterFinals;KSA;AUS;142;0.001420
QuarterFinals;ESP;FRA;2;0.000020
QuarterFinals;BRA;COL;4882;0.048820
QuarterFinals;SWE;COL;390;0.003900
QuarterFinals;ESP;PER;10127;0.101270
QuarterFinals;ISL;POR;7;0.000070
QuarterFinals;KSA;ARG;879;0.008790
QuarterFinals;ESP;NGA;1;0.000010
QuarterFinals;BRA;POL;12922;0.129220
QuarterFinals;RUS;PER;4713;0.047130
QuarterFinals;ISL;KSA;2;0.000020
QuarterFinals;EGY;ARG;1133;0.011330
QuarterFinals;ARG;MAR;1;0.000010
QuarterFinals;CRC;ENG;874;0.008740
QuarterFinals;EGY;PER;40;0.000400
QuarterFinals;SRB;ENG;3136;0.031360
QuarterFinals;SUI;COL;8789;0.087890
QuarterFinals;KSA;PER;220;0.002200
QuarterFinals;FRA;MAR;411;0.004110
QuarterFinals;MEX;POL;4790;0.047900
QuarterFinals;CRC;POL;43;0.000430
QuarterFinals;SWE;POL;63;0.000630
QuarterFinals;ESP;AUS;1190;0.011900
QuarterFinals;GER;PAN;42;0.000420
QuarterFinals;KOR;COL;2;0.000020
QuarterFinals;NGA;KSA;117;0.001170
QuarterFinals;GER;COL;25870;0.258700
QuarterFinals;BRA;ENG;4;0.000040
QuarterFinals;EGY;DEN;325;0.003250
QuarterFinals;MEX;BEL;16058;0.160580
QuarterFinals;SRB;JPN;5;0.000050
QuarterFinals;GER;POL;5480;0.054800
QuarterFinals;SRB;TUN;4;0.000040
QuarterFinals;KOR;POL;42;0.000420
QuarterFinals;SWE;SEN;14;0.000140
QuarterFinals;SRB;BEL;1;0.000010
QuarterFinals;RUS;DEN;5643;0.056430
QuarterFinals;NGA;IRN;4;0.000040
QuarterFinals;URU;AUS;98;0.000980
QuarterFinals;GER;ENG;40842;0.408420
QuarterFinals;SRB;PAN;11;0.000110
QuarterFinals;EGY;AUS;258;0.002580
QuarterFinals;MEX;COL;1427;0.014270
QuarterFinals;RUS;AUS;117;0.001170
QuarterFinals;SRB;COL;443;0.004430
QuarterFinals;SUI;JPN;1;0.000010
SemiFinals;JPN;SUI;532;0.005320
SemiFinals;MAR;URU;19;0.000190
SemiFinals;MAR;PER;2;0.000020
SemiFinals;URU;PER;987;0.009870
SemiFinals;BRA;SUI;4270;0.042700
SemiFinals;NGA;RUS;161;0.001610
SemiFinals;MEX;PAN;2;0.000020
SemiFinals;CRO;ESP;6563;0.065630
SemiFinals;COL;SUI;15;0.000150
SemiFinals;BRA;BEL;3;0.000030
SemiFinals;BEL;ENG;6566;0.065660
SemiFinals;MAR;ARG;84;0.000840
SemiFinals;JPN;COL;640;0.006400
SemiFinals;KSA;ESP;57;0.000570
SemiFinals;URU;RUS;2392;0.023920
SemiFinals;URU;ARG;5893;0.058930
SemiFinals;BRA;CRC;343;0.003430
SemiFinals;FRA;AUS;282;0.002820
SemiFinals;BRA;TUN;4;0.000040
SemiFinals;NGA;ARG;758;0.007580
SemiFinals;MEX;ENG;2583;0.025830
SemiFinals;JPN;SRB;5;0.000050
SemiFinals;SWE;ENG;132;0.001320
SemiFinals;FRA;KSA;259;0.002590
SemiFinals;BRA;SRB;1228;0.012280
SemiFinals;CRO;DEN;1101;0.011010
SemiFinals;COL;SRB;266;0.002660
SemiFinals;JPN;CRC;7;0.000070
SemiFinals;KSA;URU;31;0.000310
SemiFinals;SEN;CRC;12;0.000120
SemiFinals;RUS;ARG;2;0.000020
SemiFinals;DEN;ESP;1;0.000010
SemiFinals;NGA;DEN;105;0.001050
SemiFinals;POL;SUI;607;0.006070
SemiFinals;NGA;PER;111;0.001110
SemiFinals;NGA;URU;13;0.000130
SemiFinals;POL;CRC;72;0.000720
SemiFinals;JPN;TUN;1;0.000010
SemiFinals;KOR;CRC;5;0.000050
SemiFinals;BRA;COL;6095;0.060950
SemiFinals;CRO;PER;867;0.008670
SemiFinals;KSA;ARG;46;0.000460
SemiFinals;KOR;SRB;3;0.000030
SemiFinals;BRA;POL;1267;0.012670
SemiFinals;BEL;SUI;2630;0.026300
SemiFinals;TUN;JPN;1;0.000010
SemiFinals;COL;POL;373;0.003730
SemiFinals;TUN;GER;3;0.000030
SemiFinals;MEX;CRC;62;0.000620
SemiFinals;CRO;RUS;2188;0.021880
SemiFinals;ISL;ESP;25;0.000250
SemiFinals;MEX;POL;255;0.002550
SemiFinals;BEL;CRC;189;0.001890
SemiFinals;SWE;CRC;11;0.000110
SemiFinals;KOR;COL;7;0.000070
SemiFinals;URU;KSA;105;0.001050
SemiFinals;MAR;KSA;8;0.000080
SemiFinals;MAR;AUS;28;0.000280
SemiFinals;CRO;ARG;5031;0.050310
SemiFinals;NGA;EGY;119;0.001190
SemiFinals;POL;ENG;1420;0.014200
SemiFinals;MEX;BEL;2;0.000020
SemiFinals;NGA;ESP;946;0.009460
SemiFinals;BEL;COL;3472;0.034720
SemiFinals;POR;KSA;98;0.000980
SemiFinals;URU;AUS;106;0.001060
SemiFinals;SEN;COL;12;0.000120
SemiFinals;BEL;SRB;694;0.006940
SemiFinals;RUS;KSA;1;0.000010
SemiFinals;BEL;TUN;2;0.000020
SemiFinals;MEX;SRB;231;0.002310
SemiFinals;COL;GER;1101;0.011010
SemiFinals;POR;AUS;98;0.000980
SemiFinals;RUS;AUS;3;0.000030
SemiFinals;MEX;COL;1487;0.014870
SemiFinals;EGY;NGA;1;0.000010
SemiFinals;ISL;RUS;2;0.000020
SemiFinals;BRA;JPN;3;0.000030
SemiFinals;ISL;ARG;16;0.000160
SemiFinals;FRA;DEN;2854;0.028540
SemiFinals;POR;PER;1158;0.011580
SemiFinals;POR;ARG;6672;0.066720
SemiFinals;POR;URU;8;0.000080
SemiFinals;POR;RUS;2693;0.026930
SemiFinals;CRO;AUS;10;0.000100
SemiFinals;SWE;TUN;1;0.000010
SemiFinals;BRA;GER;23146;0.231460
SemiFinals;SWE;SUI;1;0.000010
SemiFinals;MEX;SUI;1077;0.010770
SemiFinals;RUS;ESP;7;0.000070
SemiFinals;PAN;JPN;1;0.000010
SemiFinals;FRA;ARG;13629;0.136290
SemiFinals;IRN;URU;1;0.000010
SemiFinals;IRN;FRA;1;0.000010
SemiFinals;CRO;KSA;36;0.000360
SemiFinals;FRA;RUS;5358;0.053580
SemiFinals;JPN;GER;2272;0.022720
SemiFinals;COL;ENG;502;0.005020
SemiFinals;SEN;GER;39;0.000390
SemiFinals;FRA;URU;53;0.000530
SemiFinals;BEL;POL;714;0.007140
SemiFinals;POL;GER;2929;0.029290
SemiFinals;URU;EGY;134;0.001340
SemiFinals;BRA;PAN;14;0.000140
SemiFinals;ISL;URU;3;0.000030
SemiFinals;KSA;AUS;14;0.000140
SemiFinals;KOR;GER;23;0.000230
SemiFinals;SWE;COL;12;0.000120
SemiFinals;SWE;SRB;58;0.000580
SemiFinals;FRA;PER;2172;0.021720
SemiFinals;MAR;ESP;86;0.000860
SemiFinals;POL;COL;928;0.009280
SemiFinals;NGA;AUS;115;0.001150
SemiFinals;ISL;KSA;3;0.000030
SemiFinals;ISL;AUS;3;0.000030
SemiFinals;RUS;URU;3;0.000030
SemiFinals;SEN;ENG;19;0.000190
SemiFinals;URU;ESP;7384;0.073840
SemiFinals;CRC;ENG;1;0.000010
SemiFinals;POR;EGY;148;0.001480
SemiFinals;BEL;GER;13510;0.135100
SemiFinals;SWE;GER;298;0.002980
SemiFinals;MEX;GER;5385;0.053850
SemiFinals;SWE;POL;66;0.000660
SemiFinals;POL;SRB;44;0.000440
SemiFinals;NGA;KSA;80;0.000800
SemiFinals;BRA;ENG;11256;0.112560
SemiFinals;POR;ESP;8629;0.086290
SemiFinals;POR;DEN;1305;0.013050
SemiFinals;BEL;PAN;7;0.000070
SemiFinals;TUN;SRB;2;0.000020
SemiFinals;MAR;RUS;1;0.000010
SemiFinals;PAN;GER;1;0.000010
SemiFinals;POR;FRA;1;0.000010
SemiFinals;CRO;EGY;26;0.000260
SemiFinals;FRA;ESP;17321;0.173210
SemiFinals;JPN;ENG;1058;0.010580
SemiFinals;KOR;ENG;18;0.000180
SemiFinals;URU;DEN;1259;0.012590
SemiFinals;FRA;EGY;324;0.003240
SemiFinals;COL;CRC;5;0.000050
Final;AUS;BEL;37;0.000370
Final;URU;SRB;81;0.000810
Final;AUS;SWE;3;0.000030
Final;ISL;ENG;1;0.000010
Final;EGY;CRC;2;0.000020
Final;FRA;BRA;6886;0.068860
Final;ARG;BEL;2374;0.023740
Final;PER;COL;113;0.001130
Final;DEN;ENG;249;0.002490
Final;KSA;CRC;8;0.000080
Final;RUS;GER;1522;0.015220
Final;NGA;POL;49;0.000490
Final;PER;SUI;69;0.000690
Final;FRA;JPN;427;0.004270
Final;CRO;CRC;9;0.000090
Final;FRA;SEN;9;0.000090
Final;CRO;SWE;1;0.000010
Final;FRA;MEX;988;0.009880
Final;PER;BEL;283;0.002830
Final;AUS;COL;15;0.000150
Final;ESP;ENG;2443;0.024430
Final;NGA;COL;52;0.000520
Final;MAR;SWE;1;0.000010
Final;CRO;SUI;266;0.002660
Final;KSA;COL;13;0.000130
Final;ESP;BRA;7088;0.070880
Final;DEN;JPN;47;0.000470
Final;URU;POL;246;0.002460
Final;CRO;BEL;935;0.009350
Final;ARG;TUN;1;0.000010
Final;ARG;SUI;586;0.005860
Final;KSA;BEL;45;0.000450
Final;ISL;JPN;2;0.000020
Final;PER;SRB;29;0.000290
Final;DEN;MEX;120;0.001200
Final;AUS;CRC;4;0.000040
Final;CRO;COL;347;0.003470
Final;NGA;SRB;42;0.000420
Final;POR;ENG;844;0.008440
Final;ISL;BRA;4;0.000040
Final;ARG;SWE;35;0.000350
Final;RUS;POL;170;0.001700
Final;FRA;PAN;4;0.000040
Final;DEN;GER;737;0.007370
Final;ARG;CRC;36;0.000360
Final;CRO;SRB;41;0.000410
Final;DEN;CRC;5;0.000050
Final;ESP;GER;6784;0.067840
Final;FRA;POL;730;0.007300
Final;NGA;BEL;140;0.001400
Final;POR;GER;2415;0.024150
Final;EGY;ENG;35;0.000350
Final;ESP;KOR;4;0.000040
Final;NGA;SUI;5;0.000050
Final;ESP;MEX;998;0.009980
Final;MAR;GER;31;0.000310
Final;KSA;SRB;9;0.000090
Final;ARG;SRB;151;0.001510
Final;DEN;BEL;329;0.003290
Final;ESP;SEN;12;0.000120
Final;ESP;JPN;397;0.003970
Final;NGA;SWE;15;0.000150
Final;POR;KOR;2;0.000020
Final;NGA;CRC;13;0.000130
Final;ISL;CRC;1;0.000010
Final;AUS;SRB;6;0.000060
Final;URU;GER;2053;0.020530
Final;URU;SEN;1;0.000010
Final;ARG;COL;994;0.009940
Final;DEN;POL;71;0.000710
Final;MAR;JPN;2;0.000020
Final;CRO;POL;194;0.001940
Final;PER;CRC;4;0.000040
Final;ESP;POL;765;0.007650
Final;EGY;BRA;78;0.000780
Final;URU;MEX;312;0.003120
Final;FRA;GER;6723;0.067230
Final;POR;MEX;382;0.003820
Final;POR;BRA;2492;0.024920
Final;MAR;BRA;31;0.000310
Final;DEN;COL;140;0.001400
Final;POR;SEN;2;0.000020
Final;ARG;POL;538;0.005380
Final;PER;SWE;6;0.000060
Final;EGY;MEX;15;0.000150
Final;RUS;BRA;1468;0.014680
Final;URU;JPN;137;0.001370
Final;FRA;KOR;5;0.000050
Final;URU;BRA;2128;0.021280
Final;KSA;POL;10;0.000100
Final;AUS;POL;9;0.000090
Final;RUS;MEX;212;0.002120
Final;POR;JPN;175;0.001750
Final;RUS;JPN;101;0.001010
Final;KSA;GER;100;0.001000
Final;AUS;MEX;9;0.000090
Final;NGA;ENG;118;0.001180
Final;FRA;TUN;1;0.000010
Final;EGY;GER;83;0.000830
Final;MAR;PAN;1;0.000010
Final;POR;SRB;75;0.000750
Final;ARG;MEX;692;0.006920
Final;PER;BRA;596;0.005960
Final;RUS;CRC;3;0.000030
Final;AUS;SEN;2;0.000020
Final;AUS;BRA;67;0.000670
Final;DEN;SRB;10;0.000100
Final;KSA;SEN;1;0.000010
Final;ARG;JPN;291;0.002910
Final;PER;JPN;29;0.000290
Final;FRA;SWE;60;0.000600
Final;FRA;BEL;3263;0.032630
Final;URU;ENG;688;0.006880
Final;POR;COL;487;0.004870
Final;CRO;GER;1991;0.019910
Final;CRO;MEX;298;0.002980
Final;FRA;SUI;783;0.007830
Final;MAR;ENG;6;0.000060
Final;ARG;BRA;4953;0.049530
Final;EGY;KOR;1;0.000010
Final;ESP;TUN;1;0.000010
Final;EGY;POL;17;0.000170
Final;MAR;MEX;4;0.000040
Final;CRO;JPN;120;0.001200
Final;ESP;SUI;778;0.007780
Final;CRO;BRA;1916;0.019160
Final;AUS;KOR;1;0.000010
Final;MAR;SEN;3;0.000030
Final;KSA;BRA;81;0.000810
Final;PER;ENG;239;0.002390
Final;ESP;BEL;3330;0.033300
Final;DEN;SUI;97;0.000970
Final;AUS;GER;74;0.000740
Final;KSA;MEX;11;0.000110
Final;KSA;JPN;1;0.000010
Final;RUS;ENG;569;0.005690
Final;ARG;KOR;4;0.000040
Final;NGA;BRA;264;0.002640
Final;DEN;SWE;6;0.000060
Final;ISL;BEL;5;0.000050
Final;ESP;SRB;198;0.001980
Final;ARG;GER;4755;0.047550
Final;ESP;COL;1313;0.013130
Final;FRA;COL;1297;0.012970
Final;FRA;SRB;201;0.002010
Final;ARG;SEN;7;0.000070
Final;POR;POL;276;0.002760
Final;RUS;SRB;38;0.000380
Final;ESP;CRC;70;0.000700
Final;NGA;SEN;1;0.000010
Final;ARG;ENG;1749;0.017490
Final;KSA;ENG;37;0.000370
Final;NGA;JPN;3;0.000030
Final;EGY;SRB;7;0.000070
Final;NGA;KOR;4;0.000040
Final;POR;CRC;25;0.000250
Final;CRO;ENG;630;0.006300
Final;EGY;COL;15;0.000150
Final;MAR;CRC;1;0.000010
Final;RUS;COL;285;0.002850
Final;MAR;POL;2;0.000020
Final;NGA;GER;279;0.002790
Final;PER;POL;87;0.000870
Final;NGA;MEX;25;0.000250
Final;ESP;SWE;62;0.000620
Final;ISL;GER;7;0.000070
Final;URU;CRC;17;0.000170
Final;FRA;ENG;2297;0.022970
Final;ARG;PAN;3;0.000030
Final;EGY;SUI;4;0.000040
Final;MAR;BEL;14;0.000140
Final;DEN;BRA;766;0.007660
Final;POR;SWE;20;0.000200
Final;POR;SUI;298;0.002980
Final;FRA;CRC;67;0.000670
Final;RUS;BEL;729;0.007290
Final;PER;GER;589;0.005890
Final;EGY;TUN;1;0.000010
Final;URU;BEL;1019;0.010190
Final;URU;SWE;19;0.000190
Final;RUS;SWE;12;0.000120
Final;EGY;SWE;2;0.000020
Final;ISL;POL;1;0.000010
Final;URU;SUI;239;0.002390
Final;PER;MEX;97;0.000970
Final;URU;COL;420;0.004200
Final;EGY;BEL;48;0.000480
Final;AUS;ENG;30;0.000300
Final;RUS;SUI;196;0.001960
Final;POR;BEL;1213;0.012130
Final;MAR;COL;2;0.000020
